"schemaname","tablename","indexname","indexdef"
public,los_sysprop,uk8tcoe23qui9q3ancbhx662iqb,"CREATE UNIQUE INDEX uk8tcoe23qui9q3ancbhx662iqb ON public.los_sysprop USING btree (client_id, syskey, workstation)"
public,message,message_pkey,CREATE UNIQUE INDEX message_pkey ON public.message USING btree (id)
public,mywms_function,mywms_function_pkey,CREATE UNIQUE INDEX mywms_function_pkey ON public.mywms_function USING btree (id)
public,mywms_function,uk_hxqe1tp0v5sk4le8ij6wmtrq1,CREATE UNIQUE INDEX uk_hxqe1tp0v5sk4le8ij6wmtrq1 ON public.mywms_function USING btree (function)
public,mywms_group,index_mywms_group_client_id,CREATE INDEX index_mywms_group_client_id ON public.mywms_group USING btree (client_id)
public,mywms_group,mywms_group_pkey,CREATE UNIQUE INDEX mywms_group_pkey ON public.mywms_group USING btree (id)
public,mywms_group_mywms_role,index_mywms_group_mywms_role_grouplist_id,CREATE INDEX index_mywms_group_mywms_role_grouplist_id ON public.mywms_group_mywms_role USING btree (grouplist_id)
public,mywms_group_mywms_role,index_mywms_group_mywms_role_rolelist_id,CREATE INDEX index_mywms_group_mywms_role_rolelist_id ON public.mywms_group_mywms_role USING btree (rolelist_id)
public,mywms_group_mywms_role,mywms_group_mywms_role_pkey,"CREATE UNIQUE INDEX mywms_group_mywms_role_pkey ON public.mywms_group_mywms_role USING btree (grouplist_id, rolelist_id)"
public,mywms_group_mywms_user,index_mywms_group_mywms_user_grouplist_id,CREATE INDEX index_mywms_group_mywms_user_grouplist_id ON public.mywms_group_mywms_user USING btree (grouplist_id)
public,mywms_group_mywms_user,index_mywms_group_mywms_user_userlist_id,CREATE INDEX index_mywms_group_mywms_user_userlist_id ON public.mywms_group_mywms_user USING btree (userlist_id)
public,mywms_group_mywms_user,mywms_group_mywms_user_pkey,"CREATE UNIQUE INDEX mywms_group_mywms_user_pkey ON public.mywms_group_mywms_user USING btree (grouplist_id, userlist_id)"
public,mywms_role,mywms_role_pkey,CREATE UNIQUE INDEX mywms_role_pkey ON public.mywms_role USING btree (id)
public,mywms_role,uk_6yyotbpw7edc76ejucc4mflf2,CREATE UNIQUE INDEX uk_6yyotbpw7edc76ejucc4mflf2 ON public.mywms_role USING btree (name)
public,mywms_role,uk_d3w5xk1nns0ibm6bhgfkishku,CREATE UNIQUE INDEX uk_d3w5xk1nns0ibm6bhgfkishku ON public.mywms_role USING btree (number)
public,mywms_role_mywms_function,index_mywms_role_mywms_function_functionlist_id,CREATE INDEX index_mywms_role_mywms_function_functionlist_id ON public.mywms_role_mywms_function USING btree (functionlist_id)
public,mywms_role_mywms_function,index_mywms_role_mywms_function_rolelist_id,CREATE INDEX index_mywms_role_mywms_function_rolelist_id ON public.mywms_role_mywms_function USING btree (rolelist_id)
public,mywms_role_mywms_function,mywms_role_mywms_function_pkey,"CREATE UNIQUE INDEX mywms_role_mywms_function_pkey ON public.mywms_role_mywms_function USING btree (rolelist_id, functionlist_id)"
public,mywms_user,mywms_user_pkey,CREATE UNIQUE INDEX mywms_user_pkey ON public.mywms_user USING btree (id)
public,mywms_user,uk_48pkipun1pytmies0wei11bhm,CREATE UNIQUE INDEX uk_48pkipun1pytmies0wei11bhm ON public.mywms_user USING btree (name)
public,pickingorder,index_pickingorder_client_id,CREATE INDEX index_pickingorder_client_id ON public.pickingorder USING btree (client_id)
public,pickingorder,index_pickingorder_destination_id,CREATE INDEX index_pickingorder_destination_id ON public.pickingorder USING btree (destination_id)
public,pickingorder,index_pickingorder_operator_id,CREATE INDEX index_pickingorder_operator_id ON public.pickingorder USING btree (operator_id)
public,pickingorder,index_pickingorder_section_id,CREATE INDEX index_pickingorder_section_id ON public.pickingorder USING btree (section_id)
public,pickingorder,pickingorder_pkey,CREATE UNIQUE INDEX pickingorder_pkey ON public.pickingorder USING btree (id)
public,pickingorder,uk_jlglwa7ed1ew6cx3ejlo1pnh,CREATE UNIQUE INDEX uk_jlglwa7ed1ew6cx3ejlo1pnh ON public.pickingorder USING btree (number)
public,pickingorder_position,index_pickingorder_position_client_id,CREATE INDEX index_pickingorder_position_client_id ON public.pickingorder_position USING btree (client_id)
public,pickingorder_position,index_pickingorder_position_customerorderposition_id,CREATE INDEX index_pickingorder_position_customerorderposition_id ON public.pickingorder_position USING btree (customerorderposition_id)
public,pickingorder_position,index_pickingorder_position_itemdata_id,CREATE INDEX index_pickingorder_position_itemdata_id ON public.pickingorder_position USING btree (itemdata_id)
public,pickingorder_position,index_pickingorder_position_pickedbyoperator_id,CREATE INDEX index_pickingorder_position_pickedbyoperator_id ON public.pickingorder_position USING btree (pickedbyoperator_id)
public,pickingorder_position,index_pickingorder_position_pickfromstockunit_id,CREATE INDEX index_pickingorder_position_pickfromstockunit_id ON public.pickingorder_position USING btree (pickfromstockunit_id)
public,pickingorder_position,index_pickingorder_position_pickingorder_id,CREATE INDEX index_pickingorder_position_pickingorder_id ON public.pickingorder_position USING btree (pickingorder_id)
public,pickingorder_position,index_pickingorder_position_picktounitload_id,CREATE INDEX index_pickingorder_position_picktounitload_id ON public.pickingorder_position USING btree (picktounitload_id)
public,pickingorder_position,pickingorder_position_pkey,CREATE UNIQUE INDEX pickingorder_position_pkey ON public.pickingorder_position USING btree (id)
public,pickingorder_position,uk_gjq03mesp5018d8o1jh9ld0fw,CREATE UNIQUE INDEX uk_gjq03mesp5018d8o1jh9ld0fw ON public.pickingorder_position USING btree (number)
public,pickingorder_unitload,index_pickingorder_unitload_client_id,CREATE INDEX index_pickingorder_unitload_client_id ON public.pickingorder_unitload USING btree (client_id)
public,pickingorder_unitload,index_pickingorder_unitload_pickingorder_id,CREATE INDEX index_pickingorder_unitload_pickingorder_id ON public.pickingorder_unitload USING btree (pickingorder_id)
public,pickingorder_unitload,index_pickingorder_unitload_unitload_id,CREATE INDEX index_pickingorder_unitload_unitload_id ON public.pickingorder_unitload USING btree (unitload_id)
public,pickingorder_unitload,pickingorder_unitload_pkey,CREATE UNIQUE INDEX pickingorder_unitload_pkey ON public.pickingorder_unitload USING btree (id)
public,printer,printer_pkey,CREATE UNIQUE INDEX printer_pkey ON public.printer USING btree (id)
public,queryrepository,queryrepository_pkey,CREATE UNIQUE INDEX queryrepository_pkey ON public.queryrepository USING btree (id)
public,replenishorder,index_replenishorder_itemdata_id,CREATE INDEX index_replenishorder_itemdata_id ON public.replenishorder USING btree (itemdata_id)
public,replenishorder,replenishorder_client_id,CREATE INDEX replenishorder_client_id ON public.replenishorder USING btree (client_id)
public,replenishorder,replenishorder_destination_id,CREATE INDEX replenishorder_destination_id ON public.replenishorder USING btree (destination_id)
public,replenishorder,replenishorder_operator_id,CREATE INDEX replenishorder_operator_id ON public.replenishorder USING btree (operator_id)
public,replenishorder,replenishorder_pkey,CREATE UNIQUE INDEX replenishorder_pkey ON public.replenishorder USING btree (id)
public,replenishorder,replenishorder_requestedlocation_id,CREATE INDEX replenishorder_requestedlocation_id ON public.replenishorder USING btree (requestedlocation_id)
public,replenishorder,replenishorder_requestedrack_id,CREATE INDEX replenishorder_requestedrack_id ON public.replenishorder USING btree (requestedrack_id)
public,replenishorder,replenishorder_stockunit_id,CREATE INDEX replenishorder_stockunit_id ON public.replenishorder USING btree (stockunit_id)
public,replenishorder,uk_nwmy6tp105br1e83w3a979n2w,CREATE UNIQUE INDEX uk_nwmy6tp105br1e83w3a979n2w ON public.replenishorder USING btree (number)
public,section,section_pkey,CREATE UNIQUE INDEX section_pkey ON public.section USING btree (id)
public,shipperid,shipperid_externalid_unique,CREATE UNIQUE INDEX shipperid_externalid_unique ON public.shipperid USING btree (externalid)
public,shipperid,shipperid_id_pkey,CREATE UNIQUE INDEX shipperid_id_pkey ON public.shipperid USING btree (id)
public,shippingmethod,shippingmethod_id_pkey,CREATE UNIQUE INDEX shippingmethod_id_pkey ON public.shippingmethod USING btree (id)
public,shippingmethod_shipperid,shippingmethod_shipperid_pkey,"CREATE UNIQUE INDEX shippingmethod_shipperid_pkey ON public.shippingmethod_shipperid USING btree (shipperidset_id, shippingmethodset_id)"
public,stockrecord,index_stockrecord_activitycode,CREATE INDEX index_stockrecord_activitycode ON public.stockrecord USING btree (lower((activitycode)::text))
public,stockrecord,index_stockrecord_client_id,CREATE INDEX index_stockrecord_client_id ON public.stockrecord USING btree (client_id)
public,stockrecord,index_stockrecord_created,CREATE INDEX index_stockrecord_created ON public.stockrecord USING btree (created)
public,stockrecord,index_stockrecord_fromstockunitidentity,CREATE INDEX index_stockrecord_fromstockunitidentity ON public.stockrecord USING btree (lower((fromstockunitidentity)::text))
public,stockrecord,index_stockrecord_fromstoragelocation,CREATE INDEX index_stockrecord_fromstoragelocation ON public.stockrecord USING btree (lower((fromstoragelocation)::text))
public,stockrecord,index_stockrecord_fromunitload,CREATE INDEX index_stockrecord_fromunitload ON public.stockrecord USING btree (lower((fromunitload)::text))
public,stockrecord,index_stockrecord_itemdata,CREATE INDEX index_stockrecord_itemdata ON public.stockrecord USING btree (lower((itemdata)::text))
public,stockrecord,index_stockrecord_operator,CREATE INDEX index_stockrecord_operator ON public.stockrecord USING btree (lower((operator)::text))
public,stockrecord,index_stockrecord_ordernumber,CREATE INDEX index_stockrecord_ordernumber ON public.stockrecord USING btree (lower((ordernumber)::text))
public,stockrecord,index_stockrecord_tostockunitidentity,CREATE INDEX index_stockrecord_tostockunitidentity ON public.stockrecord USING btree (lower((tostockunitidentity)::text))
public,stockrecord,index_stockrecord_tostoragelocation,CREATE INDEX index_stockrecord_tostoragelocation ON public.stockrecord USING btree (lower((tostoragelocation)::text))
public,stockrecord,index_stockrecord_tounitload,CREATE INDEX index_stockrecord_tounitload ON public.stockrecord USING btree (lower((tounitload)::text))
public,stockrecord,stockrecord_pkey,CREATE UNIQUE INDEX stockrecord_pkey ON public.stockrecord USING btree (id)
public,stockunit,index_stockunit_client_id,CREATE INDEX index_stockunit_client_id ON public.stockunit USING btree (client_id)
public,stockunit,index_stockunit_itemdata_id,CREATE INDEX index_stockunit_itemdata_id ON public.stockunit USING btree (itemdata_id)
public,stockunit,index_stockunit_unitload_id,CREATE INDEX index_stockunit_unitload_id ON public.stockunit USING btree (unitload_id)
public,stockunit,stockunit_entity_lock_index,CREATE INDEX stockunit_entity_lock_index ON public.stockunit USING btree (entity_lock)
public,stockunit,stockunit_pkey,CREATE UNIQUE INDEX stockunit_pkey ON public.stockunit USING btree (id)
public,unitload,index_unitload_boxtype_id,CREATE INDEX index_unitload_boxtype_id ON public.unitload USING btree (boxtype_id)
public,unitload,index_unitload_carrierunitload_id,CREATE INDEX index_unitload_carrierunitload_id ON public.unitload USING btree (carrierunitload_id)
public,unitload,index_unitload_client_id,CREATE INDEX index_unitload_client_id ON public.unitload USING btree (client_id)
public,unitload,index_unitload_labelid,CREATE INDEX index_unitload_labelid ON public.unitload USING btree (labelid)
public,unitload,index_unitload_labelid_lower,CREATE INDEX index_unitload_labelid_lower ON public.unitload USING btree (lower((labelid)::text))
public,unitload,index_unitload_shippingmethod_id,CREATE INDEX index_unitload_shippingmethod_id ON public.unitload USING btree (shippingmethod_id)
public,unitload,index_unitload_storagelocation_id,CREATE INDEX index_unitload_storagelocation_id ON public.unitload USING btree (storagelocation_id)
public,unitload,index_unitload_type_id,CREATE INDEX index_unitload_type_id ON public.unitload USING btree (type_id)
public,unitload,uk_s2ujivixnde5dqb2stih8m2vh,CREATE UNIQUE INDEX uk_s2ujivixnde5dqb2stih8m2vh ON public.unitload USING btree (labelid)
public,unitload,unitload_entity_lock_index,CREATE INDEX unitload_entity_lock_index ON public.unitload USING btree (entity_lock)
public,unitload,unitload_pkey,CREATE UNIQUE INDEX unitload_pkey ON public.unitload USING btree (id)
public,unitload_record,unitload_record_pkey,CREATE UNIQUE INDEX unitload_record_pkey ON public.unitload_record USING btree (id)
public,unitload_type,uk3k6p8b3duuhbns7ir1j2v93j8,CREATE UNIQUE INDEX uk3k6p8b3duuhbns7ir1j2v93j8 ON public.unitload_type USING btree (name)
public,unitload_type,unitload_type_pkey,CREATE UNIQUE INDEX unitload_type_pkey ON public.unitload_type USING btree (id)
