domainType	path	kind	exported	collectionVerbs	itemVerbs	writable
CustomerorderCancellationLog	/customerorderCancellationLogs	COLLECTION	false	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
CustomerorderPosition	/customerorderPosition	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
CustomerorderPosition	/customerorderPosition/search/findAllPositionsByOrderBatchId	SEARCH	true	GET		read-only
CustomerorderPosition	/customerorderPosition/search/findByExternalid	SEARCH	true	GET		read-only
CustomerorderPosition	/customerorderPosition/search/findByOrderBatchId	SEARCH	true	GET		read-only
CustomerorderPosition	/customerorderPosition/search/findByOrderId	SEARCH	true	GET		read-only
CustomerorderPosition	/customerorderPosition/search/getDetailsByOrderId	SEARCH	true	GET		read-only
CustomerorderPosition	/customerorderPosition/search/getOrderReleaseInfo	SEARCH	true	GET		read-only
CustomerorderPosition	/customerorderPosition/search/releaseDueFutureTransferOrderPositions	SEARCH	true	GET		read-only
CustomerorderPosition	/customerorderPosition/search/streamOrderReleaseInfo	SEARCH	true	GET		read-only
CustomerorderPosition	/customerorderPosition/search/updateStateByOrderIds	SEARCH	true	GET		read-only
Cyclecount	/cyclecount	COLLECTION	true	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
Cyclecount	/cyclecount/search/getClosedCycleCounts	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getClosedCycleCountsPage	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getClosedCycleCountsPageAndKeyword	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getClosedCyclecountByKeyword	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getCycleCountOrders	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getDetailViewByKeyword	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getPlannedCycleCounts	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getPlannedCycleCountsPage	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getPlannedCycleCountsPageAndKeyword	SEARCH	true	GET		read-only
Cyclecount	/cyclecount/search/getPlannedCyclecountByKeyword	SEARCH	true	GET		read-only
CyclecountDtoView	/cyclecountDtoView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
CyclecountPosition	/cyclecountPosition	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
CyclecountPosition	/cyclecountPosition/search/findByCyclecountId	SEARCH	true	GET		read-only
CyclecountPosition	/cyclecountPosition/search/getCycleCountPositionByScannedUL	SEARCH	true	GET		read-only
CyclecountPosition	/cyclecountPosition/search/getCycleCountPositionList	SEARCH	true	GET		read-only
CyclecountPosition	/cyclecountPosition/search/getCycleCountPositionView	SEARCH	true	GET		read-only
CyclecountPosition	/cyclecountPosition/search/getItemDataView	SEARCH	true	GET		read-only
CyclecountPosition	/cyclecountPosition/search/getLoationView	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
FixLocationAssignment	/fixLocationAssignment/search/findByAssignedunitloadId	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/findByItemdataId	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/findByItemdataIdIn	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/findDistinctByState	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/findItemdataIdsByIdIn	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/getDetailView	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/getFixedLocationAndItemDataIds	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/getFixedLocationAndItemDataIdsPage	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/getRefillFixedLocationIds	SEARCH	true	GET		read-only
FixLocationAssignment	/fixLocationAssignment/search/getRefillFixedLocations	SEARCH	true	GET		read-only
FlowbinMonitorView	/flowbinMonitorView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
FlowbinMonitorView	/flowbinMonitorView/search/findByClientOffsetAndLimit	SEARCH	true	GET		read-only
FlowbinMonitorView	/flowbinMonitorView/search/findByKeywordAndClientName	SEARCH	true	GET		read-only
Goodsreceipt	/goodsreceipt	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Goodsreceipt	/goodsreceipt/search/findByAdviceId	SEARCH	true	GET		read-only
Goodsreceiptposition	/goodsreceiptposition	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Goodsreceiptposition	/goodsreceiptposition/search/countByGoodsreceiptId	SEARCH	true	GET		read-only
Goodsreceiptposition	/goodsreceiptposition/search/findByAdvicepositionId	SEARCH	true	GET		read-only
Goodsreceiptposition	/goodsreceiptposition/search/findByAdvicepositionIdIn	SEARCH	true	GET		read-only
Goodsreceiptposition	/goodsreceiptposition/search/findByGoodsreceiptId	SEARCH	true	GET		read-only
Goodsreceiptposition	/goodsreceiptposition/search/findByUnitloadId	SEARCH	true	GET		read-only
Goodsreceiptposition	/goodsreceiptposition/search/findPrintableUnitLoadIds	SEARCH	true	GET		read-only
Goodsreceiptposition	/goodsreceiptposition/search/generatePositionCountStringByGoodsreceiptId	SEARCH	true	GET		read-only
Goodsreceiptposition	/goodsreceiptposition/search/getDetailViewByAdvicePositionId	SEARCH	true	GET		read-only
InventoryRecord	/inventoryRecord	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Itemdata	/itemdata	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Itemdata	/itemdata/search/findByClientId	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/findByClientIdAndItemNr	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/findByClientIdIn	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/findByClientNumberAndSkuSet	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/findByItemNr	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/findNameById	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/getDetailViewPage	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/getExportItemDataByKeyword	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/getIdsForItemDataWithoutFixedAssignment	SEARCH	true	GET		read-only
Itemdata	/itemdata/search/getIdsForItemDataWithoutFixedAssignmentPage	SEARCH	true	GET		read-only
Itemunit	/itemunit	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Itemunit	/itemunit/search/findByUnitname	SEARCH	true	GET		read-only
Location	/location	COLLECTION	true	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
Location	/location/search/exportStorageLocations	SEARCH	true	GET		read-only
Location	/location/search/findByAreaId	SEARCH	true	GET		read-only
Location	/location/search/findByGateTrue	SEARCH	true	GET		read-only
Location	/location/search/findByKeyword	SEARCH	true	GET		read-only
Location	/location/search/findByName	SEARCH	true	GET		read-only
Location	/location/search/findByStaginglaneTrue	SEARCH	true	GET		read-only
Location	/location/search/findPutawayCandidates	SEARCH	true	GET		read-only
Location	/location/search/getAllCrossDockingLanes	SEARCH	true	GET		read-only
Location	/location/search/getAvailableStagingLanes	SEARCH	true	GET		read-only
Location	/location/search/getAvailableTransferLanes	SEARCH	true	GET		read-only
Location	/location/search/getDetailView	SEARCH	true	GET		read-only
Location	/location/search/getFlowBinHavingNoFixedAssignment	SEARCH	true	GET		read-only
Location	/location/search/getLocationList	SEARCH	true	GET		read-only
Location	/location/search/getLocationsByAreaName	SEARCH	true	GET		read-only
Location	/location/search/getPickableLocations	SEARCH	true	GET		read-only
Location	/location/search/getStorageLocationsForPutAwayItemData	SEARCH	true	GET		read-only
Location	/location/search/getStorageLocationsForStockMovement	SEARCH	true	GET		read-only
Location	/location/search/getStorageLocationsForStockUnitItemData	SEARCH	true	GET		read-only
LocationArea	/locationArea	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
LocationArea	/locationArea/search/findByClientIdAndName	SEARCH	true	GET		read-only
LocationArea	/locationArea/search/findByName	SEARCH	true	GET		read-only
LocationConstraint	/locationConstraint	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
LocationConstraint	/locationConstraint/search/findByStoragelocationtypeId	SEARCH	true	GET		read-only
LocationRack	/locationRack	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
LocationRack	/locationRack/search/findByName	SEARCH	true	GET		read-only
LocationRackRow	/locationRackRow	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
LocationRackRow	/locationRackRow/search/findByName	SEARCH	true	GET		read-only
LocationType	/locationType	COLLECTION	true	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
LocationType	/locationType/search/findBySltname	SEARCH	true	GET		read-only
LockOverviewAllDtoView	/lockOverviewAllDtoView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
LockOverviewAllDtoView	/lockOverviewAllDtoView/search/findByClientOffsetAndLimit	SEARCH	true	GET		read-only
LockOverviewAllDtoView	/lockOverviewAllDtoView/search/findByKeyword	SEARCH	true	GET		read-only
LockOverviewDtoView	/lockOverviewDtoView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
LockOverviewDtoView	/lockOverviewDtoView/search/findByClientOffsetAndLimit	SEARCH	true	GET		read-only
LockOverviewDtoView	/lockOverviewDtoView/search/findByKeyword	SEARCH	true	GET		read-only
LosSequencenumber	/losSequencenumber	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Message	/message	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Message	/message/search/findAllFromDaysPeriod	SEARCH	true	GET		read-only
Message	/message/search/findByKeyword	SEARCH	true	GET		read-only
Message	/message/search/findByProcess	SEARCH	true	GET		read-only
Message	/message/search/getDetailViewByKeyword	SEARCH	true	GET		read-only
MessageArchived	/message_archived	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
OrderDetailMonitorView	/orderDetailMonitorView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
OrderDetailMonitorView	/orderDetailMonitorView/search/findByClientOffsetAndLimit	SEARCH	true	GET		read-only
OrderDetailMonitorView	/orderDetailMonitorView/search/findByKeyword	SEARCH	true	GET		read-only
OrderMonitorView	/orderMonitorView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
OrderMonitorView	/orderMonitorView/search/getClientViewBySectionName	SEARCH	true	GET		read-only
OrderMonitorView	/orderMonitorView/search/getClientViewSummary	SEARCH	true	GET		read-only
OrderMonitorView	/orderMonitorView/search/getViewBySectionName	SEARCH	true	GET		read-only
OrderMonitorView	/orderMonitorView/search/getViewSummary	SEARCH	true	GET		read-only
OutboxMessage	/outboxMessages	COLLECTION	false	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
ParcelMonitorView	/parcelMonitorView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
ParcelMonitorView	/parcelMonitorView/search/findByClientOffsetAndLimit	SEARCH	true	GET		read-only
ParcelMonitorView	/parcelMonitorView/search/findByKeyword	SEARCH	true	GET		read-only
ParcelMonitorView	/parcelMonitorView/search/findByKeywordAndParcelPalletized	SEARCH	true	GET		read-only
ParcelMonitorView	/parcelMonitorView/search/findByKeywordAndParcelUnpalletized	SEARCH	true	GET		read-only
Pickingorder	/pickingorder	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Pickingorder	/pickingorder/search/findByNumber	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/findByOperatorAndStates	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/findByStateAndBoxesPerCartAndSectionId	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/findByStateAndSectionId	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/getForRapidPickingScanPackage	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/getPickingOrderSummaries	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/getPickingOrders	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/getPickingOrdersToReleaseExpiredPickingOrders	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/getPickingOrdersWithClient	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/getPickingOrdersWithOutClient	SEARCH	true	GET		read-only
Pickingorder	/pickingorder/search/verifyPickingOrders	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
PickingorderPosition	/pickingorderPosition/search/assignToteToAllPositions	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/countByPickingorderIdAndStateLessThan	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/findByCustomerorderpositionId	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/findByPickfromstockunitId	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/findByPickingorderId	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/getPickFromLocationName	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/getPickingorderPositionCount	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/getPickingorderPositions	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/getPickingorderPositionsById	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/getPickingorderPositionsByParcelexternalnumber	SEARCH	true	GET		read-only
PickingorderPosition	/pickingorderPosition/search/getPickingorderPositionsByStockunitId	SEARCH	true	GET		read-only
PickingorderUnitload	/pickingorderUnitload	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
PickingorderUnitload	/pickingorderUnitload/search/findByCustomerordernumber	SEARCH	true	GET		read-only
PickingorderUnitload	/pickingorderUnitload/search/findByPickingorderId	SEARCH	true	GET		read-only
PickingorderUnitload	/pickingorderUnitload/search/findByUnitloadId	SEARCH	true	GET		read-only
PickingorderUnitload	/pickingorderUnitload/search/findByUnitloadLabelid	SEARCH	true	GET		read-only
Printer	/printer	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Printer	/printer/search/findAllTypeAndProcessdefaultTrue	SEARCH	true	GET		read-only
Printer	/printer/search/findByType	SEARCH	true	GET		read-only
Printer	/printer/search/findByTypeAndProcessdefaultTrue	SEARCH	true	GET		read-only
PutawayConfigAudit	/putawayConfigAudits	COLLECTION	false	GET,HEAD,OPTIONS,POST	DELETE,GET,HEAD,OPTIONS,PATCH,PUT	WRITABLE
Queryrepository	/queryrepository	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
ReceivedDtoView	/receivedDtoView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
ReceivingDtoView	/receivingDtoView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
ReceivingDtoView	/receivingDtoView/search/findByAdvicenumber	SEARCH	true	GET		read-only
ReceivingDtoView	/receivingDtoView/search/findByAdvicepositionid	SEARCH	true	GET		read-only
ReceivingDtoView	/receivingDtoView/search/findByClientOffsetAndLimit	SEARCH	true	GET		read-only
ReceivingDtoView	/receivingDtoView/search/findByKeyword	SEARCH	true	GET		read-only
ReceivingDtoView	/receivingDtoView/search/getQtyByAdvicenumber	SEARCH	true	GET		read-only
ReplenishmentMonitorView	/replenishmentMonitorView	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
ReplenishmentMonitorView	/replenishmentMonitorView/search/getReplenishViewSummary	SEARCH	true	GET		read-only
Replenishorder	/replenishorder	COLLECTION	true	GET,HEAD,OPTIONS	GET,HEAD,OPTIONS	read-only
Replenishorder	/replenishorder/search/bulkUpdatePriorityForItems	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/bulkUpdatePriorityForItemsWithOldPriority	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByState	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateAndItemdataId	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateGreaterThanAndKeyword	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateGreaterThanPage	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThan	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThanAndItemdataId	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThanAndItemdataIdAndRequestedlocationId	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThanAndKeyword	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThanAndPrioLessThanAndItemdataIdIn	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThanAndRequestedlocationId	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThanAndStockunitId	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThanEqualAndDestinationIdIsNull	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByStateLessThanPage	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findByUnitloadLabelid	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findDetailMapById	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/findItemdataIdsByIdIn	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getActiveByStateAndItemDataAndLocation	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getCalculatedOrder	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getCalculatedOrderWithClient	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getClosedViewByKeyword	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getDetailViewByKeyword	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsForItemDataWithFixedAssignmentWithOrders	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsForItemDataWithFixedAssignmentWithOrdersPage	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsForUnreachableReplenishOrders	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsForUnreachableReplenishOrdersPage	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsToCancelReplenishOrders	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsToCancelReplenishOrdersPage	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsToDeleteEmptyFixAssignmentWithoutStockToReplenish	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsToDeleteEmptyFixAssignmentWithoutStockToReplenishPage	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsToUpdateReplenishmentOrderPriority	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsToUpdateReplenishmentOrderPriority2	SEARCH	true	GET		read-only
Replenishorder	/replenishorder/search/getIdsToUpdateReplenishmentOrderPriority2Page	SEARCH	true	GET		read-only
